,Virus,Country,Latitude,Longitude,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44
0,SARS,United States,37.09024,-95.712891,6552,6552,6552,6764,6764,6764,7927,7927,7927,8975,8975,10053,10053,11054,11054,11054,13217,13217,13217,13217,13217,13217,13217,17855,17855,17855,17855,17855,17855,17855,21449,21449,21449,21449,21449,21449,21449,27717,27717,27717,27717,33902,33902,33902,33902
1,SARS,United Kingdom,55.378051,-3.435973,117,117,122,137,137,137,203,203,203,229,229,339,339,428,428,428,557,557,666,822,822,822,822,1226,1226,1461,1461,1752,1752,1752,2506,2506,2905,2905,3597,3597,3597,4250,4250,6538,6538,7447,7447,7447,7447
2,SARS,Turkey,38.963745,35.243322,2,2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,10,10,10,10,10,10,10,10,10,16,16,20,20,20,20,20,26,26,26,26,26,27,27,32,32,40,40,40,40
3,SARS,Thailand,15.870032,100.992541,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,29,29,310,310,518,518,518,589,589,774,774,774,774,774,774,774,1414,1414,1414,1414,1414,2076
4,SARS,Switzerland,46.818188,8.227511999999999,2,2,3,3,3,3,4,4,4,8,8,10,10,10,10,10,16,16,16,20,20,20,20,22,22,27,27,27,27,27,31,31,33,33,47,47,47,49,49,56,56,72,72,72,76
5,SARS,Sweden,60.128161,18.643501,3,3,3,3,3,3,4,4,4,4,4,7,7,13,13,13,14,14,16,19,19,19,19,32,32,37,37,43,43,43,48,48,55,55,61,61,61,67,67,69,69,74,74,74,84
6,SARS,Spain,40.463667,-3.7492199999999998,126,126,133,136,138,138,143,143,143,178,178,180,180,218,218,218,291,291,331,357,488,488,488,488,488,499,499,512,512,512,522,522,539,539,541,541,541,541,541,717,717,760,760,760,776
7,SARS,Russia,61.52401,105.31875600000001,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,SARS,Portugal,39.399871999999995,-8.224454,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,6,6,6,6,7,7,7,11,11,17,17,27,27,27,42
9,SARS,Poland,51.919438,19.145135999999997,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,14,14,15,15,19,19,19,25
10,SARS,Philippines,12.879721,121.77401699999999,1,1,1,2,2,2,6,6,6,16,16,16,16,29,29,29,33,33,54,77,77,77,77,77,77,193,193,311,311,311,344,344,445,445,445,445,445,861,861,861,861,1709,1709,1709,1709
11,SARS,Peru,-9.189967,-75.015152,5,5,25,27,27,27,31,31,31,36,36,40,40,47,47,47,61,61,64,64,79,79,79,91,91,112,112,141,141,141,185,185,217,217,252,252,252,360,360,538,538,538,538,538,916
12,SARS,Panama,8.537981,-80.782127,76,76,76,76,76,76,107,107,107,107,107,155,155,173,173,173,179,179,221,221,221,221,221,272,272,272,272,272,272,272,330,330,330,330,358,358,358,403,403,417,417,417,417,417,417
13,SARS,Norway,60.472024,8.468946,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,13,13,13,13,13,13,13,13,17,17,17,17,17,22,22,22,22,22,31,31,32,32,41,41,41,41
14,SARS,New Zealand,-40.900557,174.88597099999998,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,14,14,23,23,27,27,27,86,86,127,127,216,216,216,258,258,386,386,453,453,453,587,587,711,711,912,912,912,1059
15,SARS,Netherlands,52.132633,5.291266,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,10,10,22,30,35,35,35,61,61,68,68,87,87,87,91,91,110,110,116,116,116,118,118,128,128,134,134,134,135
16,SARS,Mexico,23.634501,-102.552784,3892,3892,4174,4174,4541,4541,4910,4910,4910,5029,5029,5029,5029,5563,5563,5563,5717,5717,5717,6241,6241,6241,6241,6241,6241,6241,6241,7624,7624,7624,7624,7624,7847,7847,8279,8279,8279,8279,8279,8680,8680,10262,10262,10262,10262
17,SARS,Malaysia,4.210483999999999,101.97576600000001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,17,17,23,23,23,23,23,68,68,68,68,68,112,112,112,112,112,112,112,112
