,Virus,Country,Latitude,Longitude,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44
48,H1N1,Uruguay,-32.522779,-55.765834999999996,0,0,0,0,0,0,2,2,2,11,11,15,15,15,15,15,17,17,24,24,36,36,36,36,36,36,36,36,36,36,36,36,195,195,195,195,195,195,195,195,195,195,195,195,195
49,H1N1,Slovakia,48.669026,19.699023999999998,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,9,9,13,13,18,18,18,18
50,H1N1,Romania,45.943160999999996,24.96676,0,0,0,0,0,0,3,3,3,3,3,5,5,8,8,8,9,9,9,11,11,11,11,13,13,16,16,18,18,18,18,18,19,19,19,19,19,24,24,28,28,36,36,36,41
51,H1N1,Dominican Republic,18.735692999999998,-70.162651,0,0,0,0,0,0,2,2,2,2,2,11,11,33,33,33,44,44,91,91,91,91,91,93,93,93,93,93,93,93,93,93,108,108,108,108,108,108,108,108,108,108,108,108,108
52,H1N1,Czech Republic,49.817492,15.472961999999999,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,7,7,7,7,9,9,9,9,9,9,9,15,15,15,15
53,H1N1,Vietnam,14.058323999999999,108.277199,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,9,9,15,16,23,23,23,25,25,27,27,27,27,27,35,35,56,56,63,63,63,84,84,123,123,131,131,131,181
54,H1N1,Venezuela,6.42375,-66.58973,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,12,13,25,25,25,25,25,45,45,60,60,60,71,71,135,135,153,153,153,172,172,193,193,204,204,204,206
55,H1N1,Paraguay,-23.442503,-58.44383199999999,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,16,25,25,25,25,25,25,25,25,27,27,27,48,48,58,58,79,79,79,85,85,96,96,103,103,103,106
56,H1N1,Jamaica,18.109581,-77.297508,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,7,10,11,11,11,11,11,12,12,14,14,14,19,19,19,19,19,19,19,21,21,32,32,32,32,32,32
57,H1N1,Hungary,47.162494,19.503304,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,8,8,8,8,8,10,10,11,11,11,11
58,H1N1,Estonia,58.595271999999994,25.013607,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,8,8,8,13,13,13,13,13,13,13,13
59,H1N1,Cyprus,35.126413,33.429859,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,9,9,9,25,25,48,48,70,70,70,109
60,H1N1,Bolivia,-16.290154,-63.588653,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,5,5,5,5,7,7,11,11,11,11,11,25,25,44,44,47,47,47,126,126,205,205,283,283,283,416
61,H1N1,Bahamas,25.03428,-77.39628,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,7
62,H1N1,Nicaragua,12.865416,-85.207229,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,18,18,29,45,56,56,56,56,56,118,118,144,144,144,189,189,220,220,265,265,265,277,277,293,293,308,308,308,321
63,H1N1,Lebanon,33.854721000000005,35.862285,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,8,8,8,8,8,8,8,11,11,12,12,12,12,12,25,25,25,25,25,25,25,39,39,47,47,47,49
64,H1N1,Egypt,26.820553000000004,30.802497999999996,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8,10,10,10,10,18,18,26,26,29,29,29,39,39,40,40,43,43,43,50,50,67,67,67,67,67,78
65,H1N1,Bulgaria,42.733883,25.48583,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,7,7,7,7,7,10,10,10,10,10,10
66,H1N1,Saudi Arabia,23.885942,45.079162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,11,11,17,17,22,22,22,35,35,45,45,48,48,48,69,69,81,81,89,89,89,114
67,H1N1,Luxembourg,49.815273,6.129583,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6
68,H1N1,Barbados,13.193887,-59.543198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,10,10,10,10,10,10,10,12,12,12,12
69,H1N1,United Arab Emirates,23.424076,53.847818000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,7,7,7,8,8,8,8,8,8,8,8
70,H1N1,Trinidad and Tobago,10.691803,-61.222503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,5,5,5,5,18,18,18,18,18,25,25,25,25,25,53,53,53,53,53,53,53,65
71,H1N1,Dominica,15.414999,-61.370976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,H1N1,Cayman Islands,19.513469,-80.566956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,7,7,9,9,9,9,9,13,13,14,14,14,14
73,H1N1,Ukraine,48.379433,31.16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,H1N1,Gaza Strip,31.354676,34.308825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,5,8,8,8,8,9,9,9,9,9,13,13,30,30,30,60
75,H1N1,Morocco,31.791702,-7.09262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,8,8,8,6,6,9,9,11,11,11,11,11,17,17,17,17,17,17
